Second;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg;Dataset
106;24-02-202313:18:53;58;99;40;5881.199;1905;162.164;55;76.302;4299.999;13202;42.6;27.077;80.7;Bazowy
107;24-02-202313:18:54;59;99;41;5881.199;1905;164.295;56;76.823;4299.999;13326;42.2;28.023;80.7;Bazowy
108;24-02-202313:18:55;59;99;41;5881.199;1920;161.166;54;73.438;4299.999;13296;42.5;26.149;80.7;Bazowy
109;24-02-202313:18:56;59;99;43;5881.199;1912;166.172;54;77.083;4299.999;13241;41.5;33.416;80.6;Bazowy
110;24-02-202313:18:57;59;99;39;5881.199;1920;163.884;54;77.083;4299.999;13258;42.2;26.978;80.6;Bazowy
111;24-02-202313:18:58;59;99;39;5881.199;1912;160.417;54;74.6;4299.999;13337;44.4;27.317;80.5;Bazowy
112;24-02-202313:18:59;59;99;38;5881.199;1920;162.538;58;75.677;4299.999;13302;45.3;26.36;80.5;Bazowy
113;24-02-202313:19:00;59;99;38;5881.199;1920;161.268;56;79.948;4299.999;13274;46;26.199;80.5;Bazowy
114;24-02-202313:19:01;60;99;43;5881.199;1920;164.03;55;90.625;4299.999;13294;42.9;33.075;80.4;Bazowy
115;24-02-202313:19:02;60;99;42;5881.199;1920;160.866;56;88.021;4300;13428;42.2;29.732;80.4;Bazowy
116;24-02-202313:19:03;60;99;40;5881.199;1920;156.929;54;92.284;4299.999;13426;42.7;30.862;80.3;Bazowy
117;24-02-202313:19:04;60;99;40;5881.199;1920;159.722;55;90.885;4299.998;13324;40.1;31.328;80.3;Bazowy
118;24-02-202313:19:05;60;99;40;5881.199;1920;159.333;55;94.989;4299.999;13310;38.8;35.915;80.3;Bazowy
119;24-02-202313:19:06;60;99;41;5881.199;1920;161.843;55;89.063;4299.999;13436;39.5;31.257;80.2;Bazowy
120;24-02-202313:19:07;60;99;42;5881.199;1905;161.916;56;90.885;4299.999;13399;41;30.537;80.2;Bazowy
121;24-02-202313:19:08;60;98;40;5881.199;1912;161.028;55;89.063;4299.999;13345;40.2;30.859;80.1;Bazowy
122;24-02-202313:19:09;61;99;41;5881.199;1920;165.42;56;84.349;4300;13437;39.8;30.304;80.1;Bazowy
123;24-02-202313:19:10;61;99;41;5881.199;1920;162.945;56;85.723;4299.998;13489;38.1;32.242;80;Bazowy
124;24-02-202313:19:11;61;99;40;5881.199;1920;163.016;56;81.25;4299.998;13438;37.8;31.794;80;Bazowy
125;24-02-202313:19:12;61;99;42;5881.199;1912;162.821;55;78.385;4300;13396;37.8;30.048;80;Bazowy
126;24-02-202313:19:13;61;99;42;5881.199;1912;160.705;54;79.688;4299.998;13540;37.9;30.816;79.9;Bazowy
127;24-02-202313:19:14;61;99;42;5881.199;1920;162.066;55;81.51;4299.998;13499;38.8;32.575;79.9;Bazowy
128;24-02-202313:19:15;61;99;42;5881.199;1920;164.073;55;80.469;4299.999;13443;40;31.722;79.8;Bazowy
129;24-02-202313:19:16;61;99;42;5881.199;1912;162.895;56;83.854;4299.999;13431;40.3;29.507;79.8;Bazowy
130;24-02-202313:19:17;61;99;43;5881.199;1920;163.737;58;83.854;4300;13520;39.1;28.985;79.7;Bazowy
131;24-02-202313:19:18;61;99;42;5881.199;1912;163.889;55;91.146;4299.999;13483;41.1;42.864;79.7;Bazowy
132;24-02-202313:19:19;61;98;42;5881.199;1920;162.418;56;85.156;4299.999;13423;40.6;28.032;79.7;Bazowy
133;24-02-202313:19:20;61;99;41;5881.199;1920;162.576;56;84.635;4299.999;13421;39.6;31.213;79.6;Bazowy
134;24-02-202313:19:21;62;99;40;5881.199;1912;161.592;54;78.906;4300;13510;38.9;32.677;79.6;Bazowy
135;24-02-202313:19:22;62;99;41;5881.199;1912;163.494;55;77.604;4299.998;13474;39.1;31.677;79.5;Bazowy
136;24-02-202313:19:23;61;99;41;5897.199;1920;162.777;57;83.073;4299.998;13356;40.6;28.972;79.5;Bazowy
137;24-02-202313:19:24;62;99;40;5897.199;1920;160.819;57;79.948;4300;13471;41;28.167;79.4;Bazowy
138;24-02-202313:19:25;61;99;41;5897.199;1920;161.655;56;82.292;4299.998;13453;41.2;31.254;79.4;Bazowy
139;24-02-202313:19:26;62;99;42;5899.199;1920;164.11;55;78.443;4299.998;13422;42.5;26.974;79.4;Bazowy
140;24-02-202313:19:27;62;99;41;5899.199;1920;159.154;54;80.705;4299.999;13404;42.3;28.892;79.3;Bazowy
141;24-02-202313:19:28;62;99;39;5899.199;1920;159.844;57;75.521;4299.999;13516;41.6;29.776;79.3;Bazowy
142;24-02-202313:19:29;62;99;40;5915.199;1920;160.814;54;82.552;4299.999;13528;40.3;29.875;79.3;Bazowy
143;24-02-202313:19:30;62;99;41;5915.199;1920;164.253;59;71.615;4300.001;13512;39.5;31.814;79.2;Bazowy
144;24-02-202313:19:31;62;99;41;5915.199;1920;165.716;59;74.479;4300;13540;37.9;30.397;79.2;Bazowy
145;24-02-202313:19:32;62;99;42;5915.199;1920;165.752;55;81.51;4300;13626;39;29.762;79.1;Bazowy
146;24-02-202313:19:33;62;99;42;5915.199;1912;166.142;54;83.854;4299.999;13532;38.1;51.6;79.1;Bazowy
147;24-02-202313:19:34;63;99;42;5915.199;1912;165.421;54;83.594;4299.999;13525;40.1;29.271;79;Bazowy
148;24-02-202313:19:35;63;99;43;5915.199;1905;163.893;55;76.563;4299.999;13582;38.3;32.023;79;Bazowy
149;24-02-202313:19:36;63;99;44;5915.199;1905;163.567;54;80.729;4299.999;13585;39;35.526;79;Bazowy
150;24-02-202313:19:37;63;99;43;5915.199;1882;162.506;53;79.688;4299.999;13573;38.9;32.325;78.9;Bazowy
151;24-02-202313:19:38;63;99;42;5929.199;1920;162.377;55;76.563;4299.999;13528;37.6;31.132;78.9;Bazowy
152;24-02-202313:19:39;63;99;43;5929.199;1905;160.764;54;79.688;4299.999;13658;38.2;33.027;78.8;Bazowy
153;24-02-202313:19:40;63;99;45;5929.199;1912;167.08;57;80.729;4299.998;13616;38.5;36.257;78.8;Bazowy
154;24-02-202313:19:41;63;99;44;5929.199;1905;164.609;57;76.563;4299.998;13542;39.2;28.954;78.7;Bazowy
155;24-02-202313:19:42;63;99;42;5945.199;1905;164.983;55;75.26;4299.999;13517;40.3;29.456;78.7;Bazowy
156;24-02-202313:19:43;63;99;43;5945.199;1905;165.277;57;71.094;4299.999;13621;39.4;30.759;78.7;Bazowy
157;24-02-202313:19:44;63;99;43;5945.199;1890;166.198;53;72.917;4300;13614;38;31.432;78.6;Bazowy
158;24-02-202313:19:45;63;99;42;5945.199;1897;166.111;56;76.139;4300.001;13551;36.3;37.966;78.6;Bazowy
159;24-02-202313:19:46;63;99;42;5945.199;1905;168.956;53;76.563;4300.001;13572;37.7;30.095;78.5;Bazowy
160;24-02-202313:19:47;63;99;42;5961.199;1897;166.986;53;75.148;4299.999;13621;37.8;32.223;78.5;Bazowy
161;24-02-202313:19:48;63;99;42;5961.199;1897;166.397;54;78.646;4299.999;13566;38;30.338;78.5;Bazowy
162;24-02-202313:19:49;63;99;43;5961.199;1897;165.74;57;70.052;4299.999;13505;37.7;30.374;78.4;Bazowy
163;24-02-202313:19:50;63;99;42;5961.199;1890;166.325;55;82.81;4300;13591;38.1;38.125;78.4;Bazowy
164;24-02-202313:19:51;63;99;42;5961.199;1882;163.176;57;75;4300;13604;37.7;30.85;78.3;Bazowy
165;24-02-202313:19:52;63;99;40;5961.199;1905;164.212;56;80.99;4299.999;13534;37.4;30.512;78.3;Bazowy
166;24-02-202313:19:53;63;99;43;5961.199;1882;163.104;54;75.148;4299.999;13467;38.2;30.722;78.3;Bazowy
167;24-02-202313:19:54;63;99;44;5961.199;1882;165.912;58;79.948;4299.999;13590;39.3;31.425;78.2;Bazowy
168;24-02-202313:19:55;63;99;44;5961.199;1890;161.635;57;75;4299.999;13603;37.5;33.188;78.2;Bazowy
169;24-02-202313:19:56;63;99;42;5961.199;1897;165.826;55;83.073;4299.997;13418;37.9;30.638;78.1;Bazowy
