Second;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg;Dataset
89;24-02-202316:18:11;59;99;27;6131.605;1920;131.315;56;98.177;4300.001;12474;56.9;20.219;47.9;DLSS Quality
90;24-02-202316:18:12;59;99;27;6128.945;1920;132.244;58;98.438;4300.001;12415;55.9;21.312;47.9;DLSS Quality
91;24-02-202316:18:13;59;99;29;6123.762;1920;134.14;55;82.297;4300.001;12530;57;21.073;48;DLSS Quality
92;24-02-202316:18:14;59;99;28;6127.113;1920;134.619;55;80.171;4300.001;12492;58.3;18.691;48;DLSS Quality
93;24-02-202316:18:15;59;99;28;6121.914;1920;134.886;58;98.438;4300.001;12435;59.9;21.577;48.1;DLSS Quality
94;24-02-202316:18:16;59;99;28;6124.629;1920;139.705;57;94.531;4300.001;12278;59.9;22.177;48.1;DLSS Quality
95;24-02-202316:18:17;59;99;28;6124.422;1920;135.223;53;77.865;4300.001;12309;58.7;18.511;48.1;DLSS Quality
96;24-02-202316:18:18;59;100;27;6119.18;1920;136.386;57;94.792;4300.001;12363;57.3;21.129;48.2;DLSS Quality
97;24-02-202316:18:19;59;100;28;6115.891;1920;136.783;55;84.115;4300.002;12316;56.4;21.107;48.2;DLSS Quality
98;24-02-202316:18:20;59;97;27;6124.98;1920;134.731;55;77.083;4300.002;12275;58.4;20.684;48.3;DLSS Quality
1;24-02-202316:09:53;60;99;29;6102.5;1920;134.535;48;64.337;4300.002;11191;72.8;17.461;45.9;DLSS Balance
2;24-02-202316:09:54;60;99;29;6103.125;1920;133.897;53;61.458;4300.001;11351;73.8;16.514;46.1;DLSS Balance
3;24-02-202316:09:55;60;99;29;6103.125;1920;133.755;54;61.458;4300.001;11423;73.5;17.088;46.2;DLSS Balance
4;24-02-202316:09:56;60;99;28;6103.125;1920;133.207;54;71.711;4300.002;11468;73;14.678;46.4;DLSS Balance
5;24-02-202316:09:57;60;98;27;6105;1920;130.282;53;69.982;4300;11501;69.8;17.78;46.5;DLSS Balance
6;24-02-202316:09:58;61;99;28;6105;1920;130.305;53;83.608;4300;11570;70.7;15.299;46.6;DLSS Balance
7;24-02-202316:09:59;61;99;28;6105;1920;133.256;54;78.906;4300.001;11614;75;16.123;46.7;DLSS Balance
8;24-02-202316:10:00;61;99;26;6105;1920;125.329;53;83.854;4300.001;11624;70.6;18.58;46.8;DLSS Balance
9;24-02-202316:10:01;61;99;25;6105;1920;122.903;56;72.489;4300.002;11676;56.1;19.162;46.9;DLSS Balance
10;24-02-202316:10:02;61;98;26;6105;1920;121.242;52;72.295;4300.001;11783;60.2;19.262;47;DLSS Balance
11;24-02-202316:10:03;61;99;26;6105.078;1920;121.582;53;89.844;4300.001;11839;62.7;17.009;47;DLSS Balance
12;24-02-202316:10:04;61;99;26;6105.078;1920;122.528;53;82.292;4300;11880;59.5;18.152;47.1;DLSS Balance
13;24-02-202316:10:05;61;99;25;6105.078;1920;121.531;54;78.646;4300.005;11911;59.7;19.215;47.2;DLSS Balance
14;24-02-202316:10:06;62;99;26;6098.383;1920;121.748;53;87.5;4300.005;11999;60;19.716;47.2;DLSS Balance
15;24-02-202316:10:07;62;98;24;6108.578;1920;123.346;56;86.198;4300;12026;58.2;21.453;47.3;DLSS Balance
16;24-02-202316:10:08;62;98;25;6113.313;1920;123.944;56;100;4300;12016;52.8;22.409;47.3;DLSS Balance
17;24-02-202316:10:09;62;99;25;6117.945;1920;124.002;53;84.307;4300;12007;54.6;24.456;47.3;DLSS Balance
18;24-02-202316:10:10;63;99;26;6108.234;1920;123.215;53;83.652;4300.002;12094;56.4;19.629;47.4;DLSS Balance
19;24-02-202316:10:11;63;99;25;6101.523;1920;122.89;52;81.771;4300.001;12099;57.1;20.218;47.4;DLSS Balance
20;24-02-202316:10:12;62;96;23;6112.25;1920;118.471;55;97.947;4300.001;12119;54.3;24.213;47.5;DLSS Balance
21;24-02-202316:10:13;62;99;25;6112.25;1920;124.977;52;83.896;4300.001;12129;56.6;25.213;47.5;DLSS Balance
22;24-02-202316:10:14;62;99;25;6116.621;1920;122.549;52;86.979;4300.001;12198;59;20.99;47.6;DLSS Balance
