02;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Memoryclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateMin;FramerateAvg;FramerateMax;Framerate1%Low;Fanspeed2;Fantachometer2
80;24-02-202316:34:41;59.000;99.000;25.000;6055.258;1920.000;7500.999;130.287;56.000;81.014;4300.002;12123.000;67.700;16.611;0.000;49.200;451.200;0.000;33.000;1288.000
80;24-02-202316:34:42;59.000;98.000;25.000;6049.023;1920.000;7500.999;128.709;56.000;79.114;4300.000;12080.000;66.600;17.730;0.000;49.300;451.200;0.000;33.000;1284.000
80;24-02-202316:34:43;59.000;99.000;26.000;6050.957;1920.000;7500.999;128.085;56.000;81.771;4300.000;12175.000;65.100;17.090;0.000;49.300;451.200;0.000;33.000;1284.000
80;24-02-202316:34:44;59.000;95.000;24.000;6050.895;1920.000;7500.999;124.071;57.000;99.743;4300.001;12095.000;63.200;20.659;0.000;49.400;451.200;0.000;33.000;1290.000
80;24-02-202316:34:45;59.000;98.000;25.000;6050.668;1920.000;7500.999;125.651;58.000;100.000;4300.001;12049.000;60.300;20.268;0.000;49.400;451.200;0.000;33.000;1289.000
80;24-02-202316:34:46;59.000;98.000;25.000;6048.258;1920.000;7500.999;128.307;59.000;100.000;4300.001;12004.000;58.300;23.722;0.000;49.500;451.200;0.000;32.000;1286.000
80;24-02-202316:34:47;59.000;98.000;26.000;6043.074;1920.000;7500.999;129.889;56.000;90.365;4300.001;12114.000;61.300;19.363;0.000;49.500;451.200;0.000;32.000;1292.000
80;24-02-202316:34:48;59.000;99.000;26.000;6046.426;1920.000;7500.999;131.411;58.000;85.938;4300.001;12086.000;62.700;18.630;0.000;49.600;451.200;0.000;32.000;1288.000
80;24-02-202316:34:49;59.000;99.000;26.000;6041.227;1920.000;7500.999;130.916;59.000;97.135;4300.001;12070.000;64.500;18.670;0.000;49.700;451.200;0.000;32.000;1286.000
80;24-02-202316:34:50;59.000;99.000;26.000;6043.941;1920.000;7500.999;133.467;57.000;99.219;4300.001;12030.000;64.300;18.138;0.000;49.700;451.200;0.000;32.000;1291.000
80;24-02-202316:34:51;59.000;99.000;26.000;6043.734;1920.000;7500.999;131.541;54.000;77.083;4300.001;12126.000;63.400;19.185;0.000;49.800;451.200;0.000;32.000;1291.000
80;24-02-202316:34:52;59.000;99.000;25.000;6038.492;1920.000;7500.999;131.672;59.000;94.531;4300.001;12184.000;61.200;19.706;0.000;49.800;451.200;0.000;32.000;1286.000
80;24-02-202316:34:53;59.000;99.000;25.000;6037.703;1920.000;7500.999;130.892;55.000;86.979;4300.001;12139.000;60.000;19.306;0.000;49.900;451.200;0.000;32.000;1288.000
80;24-02-202316:34:54;59.000;99.000;24.000;6046.453;1920.000;7500.999;131.320;57.000;71.354;4300.001;12188.000;62.500;18.836;0.000;49.900;451.200;0.000;32.000;1287.000
80;24-02-202316:34:55;59.000;99.000;25.000;6051.176;1920.000;7500.999;131.595;54.000;59.115;4300.001;12202.000;63.200;18.181;0.000;50.000;451.200;0.000;32.000;1288.000
80;24-02-202316:34:56;59.000;99.000;25.000;6051.176;1920.000;7500.999;131.429;55.000;81.510;4300.001;12161.000;65.600;17.175;0.000;50.100;451.200;0.000;32.000;1285.000
80;24-02-202316:34:57;58.000;97.000;24.000;6048.555;1920.000;7500.999;124.047;57.000;91.406;4300.001;12065.000;63.900;21.271;0.000;50.100;451.200;0.000;32.000;1279.000
